majorSeq,major_name,공통과목,일반선택과목,진로선택과목,전문교과Ⅰ,전문교과Ⅱ,,,,,,,,,,,,,,,,,,,
45,관광경영과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 환경","실용 수학, 여행지리, 사회문제 탐구","정보과학, 생태와 환경, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 비즈니스 영어, 마케팅과 광고, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
46,관광경영학과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 환경","실용 수학, 여행지리, 사회문제 탐구","정보과학, 생태와 환경, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 비즈니스 영어, 마케팅과 광고, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
48,관광통역과,"영어, 사회, 교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","실용 영어, 영어권 문학, 진로 영어, 영미 문학 읽기, 사회문제 탐구, 고전과 윤리, 여행지리","심화 영어, 심화 영어 회화, 심화 영어 독해, 심화 영어 작문, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회과제 연구",,,,,,,,,,,,,,,,,,,,
49,관현악과,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평","음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기",음악 콘텐츠 제작,,,,,,,,,,,,,,,,,,,
50,광고기획과,"국어, 사회, 생활ㆍ교양","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 정치와 법, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 논술","실용 국어, 심화 국어, 고전 읽기, 여행지리, 사회문제 탐구","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","마케팅과 광고, 커뮤니케이션, 인간발달, 시각디자인, 광고 콘텐츠 제작, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
51,광고디자인과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉 미술 전공 실기","디자인 일반, 시각디자인, 색체 관리",,,,,,,,,,,,,,,,,,,
54,광고홍보학과,"국어, 사회, 생활ㆍ교양","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 정치와 법, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 논술","실용 국어, 심화 국어, 고전 읽기, 여행지리, 사회문제 탐구","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","마케팅과 광고, 커뮤니케이션, 인간발달, 시각디자인, 광고 콘텐츠 제작, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
55,광학공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 생태와 환경, 과학과제연구","공업 일반, 냉동 공조 설계, 프로그래밍",,,,,,,,,,,,,,,,,,,
56,교양과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 시미학, 교육학, 실용 경제","실용 수학, 실용 영어, 영어권 문화, 진로 영어, 사회문제 탐구, 창의경영, 지식 재산 일반","정보과학, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","기업과 경영, 정보처리와 관리, 커뮤니케이션, 정보통신, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
57,교육공학과,"국어, 영어, 기술ㆍ가정","교양교과 : 심리학, 교육학",공학 일반,"영상 제작의 이해, 사진 영상 편집","정보통신 교과의 방송 제작 시스템 운영, 응용 프로그래밍 개발, 인쇄ㆍ출판ㆍ공예 교과의 디지털 이미지 재현",,,,,,,,,,,,,,,,,,,
