majorSeq,major_name,공통과목,일반선택과목,진로선택과목,전문교과Ⅰ,전문교과Ⅱ,,,,,,,,,,,,,,,,,,,
413,의예과,"영어, 수학, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ, 융합과학","고급 화학 및 고급 생명과학, 화학실험 및 생명과학 실험, 과학과제 연구",인체 구조와 기능,,,,,,,,,,,,,,,,,,,
414,의용공학과,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ","화학Ⅱ, 생명과학Ⅱ","고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 과학과제 연구","인체 구조와 기능, 기초 간호 임상 실무, 보건 간호",,,,,,,,,,,,,,,,,,,
418,이벤트연출과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉 미술 전공 실기","디자인 일반, 시각디자인, 색체 관리",,,,,,,,,,,,,,,,,,,
423,부사관과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리<br>생활ㆍ교양교과 : 논리학, 심리학, 교육학",사회문제 탐구,"지역 이해, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 정보과학","커뮤니케이션, 정보 보호 관리, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
424,문화인류학과,"사회, 생활ㆍ교양","사회교과 : 한국지리. 세계지리, 세계사, 동아시아사, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 종교학","여행지리, 사회문제탐구","지역 이해, 비교 문화, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","문화콘텐츠 산업 일반, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
431,일반사회교육과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상",사회문제 탐구,"국제 경제, 국제법, 지역 이해, 한국 사회의 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 복지 서비스의 기초, 문화 콘텐츠 산업 일반, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
432,일본어과,"제2외국어, 사회, 국어, 한문","외국어교과 : 일본어, 중국어, 독일어, 영어<br>사회교과 : 사회문화, 생활과 윤리, 윤리와 사상, 동아시아사, 세계사<br>교양ㆍ국어교과 : 철학, 심리학, 한문, 문학, 독서","일본어Ⅱ, 일본어 회화, 한문Ⅱ, 심화 국어, 고전 읽기, 고전과 윤리, 사회문제 탐구, 여행지리, 일본 문화","관광 일본어, 사회과제 연구, 사회문제 탐구, 전공기초 일본어","관광 일본어, 일식 조리",,,,,,,,,,,,,,,,,,,
434,일본학과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 동아시아사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 제2외국어Ⅰ 과목, 철학, 논리학, 심리학, 종교학","여행지리, 사회문제 탐구, 제2외국어Ⅱ 과목","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 비즈니스 영어",,,,,,,,,,,,,,,,,,,
436,일어일문학과,"제2외국어, 사회, 국어, 한문","외국어교과 : 일본어, 중국어, 독일어, 영어<br>사회교과 : 사회문화, 생활과 윤리, 윤리와 사상, 동아시아사, 세계사<br>교양ㆍ국어교과 : 철학, 심리학, 한문, 문학, 독서","일본어Ⅱ, 일본어 회화, 한문Ⅱ, 심화 국어, 고전 읽기, 고전과 윤리, 사회문제 탐구, 여행지리, 일본 문화","관광 일본어, 사회과제 연구, 사회문제 탐구, 전공기초 일본어","관광 일본어, 일식 조리",,,,,,,,,,,,,,,,,,,
437,임산공학과,"과학, 수학, 사회, 생활ㆍ교양","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ, 지구과학Ⅰ<br>수학ㆍ사회교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 한국지리, 생활과 윤리<br>생활ㆍ교양교과 : 환경, 보건학, 논술, 철학, 정보, 진로와 직업","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 공학일반, 창의경영, 지식 재산 일반, 농업생명과학, 사회문제 탐구","고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 과학 과제연구, 생태와 환경, 정보과학","임산 가공, 제조화학, 생명공학 기술, 산림자원",,,,,,,,,,,,,,,,,,,
439,임상병리과,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>교양교과 : 심리학","화학Ⅱ, 생명과학Ⅱ","고급화학, 화학 실험, 고급 생명과학, 생명과학 실험, 과학과제 연구","인체 구조와 기능, 기초 간호 임상 실무, 보건 간호",,,,,,,,,,,,,,,,,,,
440,임상병리학과,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>교양교과 : 심리학","화학Ⅱ, 생명과학Ⅱ","고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 과학과제 연구","인체 구조와 기능, 기초 간호 임상 실무, 보건 간호",,,,,,,,,,,,,,,,,,,
442,자동차공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 과학과제연구","기계 제도, 자동차 일반, 자동차 기관, 자동차 전기ㆍ전자 제어, 자동차 엔진 정비, 자동차 차체 정비",,,,,,,,,,,,,,,,,,,
443,자동차과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 과학과제연구","기계 제도, 자동차 일반, 자동차 기관, 자동차 전기ㆍ전자 제어, 자동차 엔진 정비, 자동차 차체 정비",,,,,,,,,,,,,,,,,,,
445,자동차정비과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 과학과제연구","기계 제도, 자동차 일반, 자동차 기관, 자동차 전기ㆍ전자 제어, 자동차 엔진 정비, 자동차 차체 정비",,,,,,,,,,,,,,,,,,,
448,에너지자원공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 생태와 환경, 과학과제연구","공업 일반, 냉동 공조 설계, 프로그래밍",,,,,,,,,,,,,,,,,,,
449,바이오동물과,"과학, 윤리, 교양, 수학","과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 사회문화, 윤리와 사상<br>교양교과 : 환경, 보건학, 철학, 생활과 창의성, 논술","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 사회문제 탐구","고급생명과학, 생명과학 실험, 과학과제 연구, 융합과학 탐구, 생태와 환경, 정보과학, 사회탐구 방법","생명공학 기술, 인간과 환경",,,,,,,,,,,,,,,,,,,
450,식물자원학과,"과학, 교양, 영어","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리Ⅰ<br>교양교과 : 환경, 보건학, 논술, 생활과 창의성, 진로와 직업<br>영어ㆍ생활교과 : 영어Ⅰ, 영어Ⅱ, 기술가정, 정보","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 공학일반, 창의경영, 해양문화 기술","고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 정보과학, 과학 과제연구, 생태와 환경","생명공학 기술, 인간과 환경, 환경 화학 기초, 친환경 농업, 농업 기초 기술",,,,,,,,,,,,,,,,,,,
451,자율전공학부,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 시미학, 교육학, 실용 경제","실용 수학, 실용 영어, 영어권 문화, 진로 영어, 사회문제 탐구, 창의경영, 지식 재산 일반","정보과학, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","기업과 경영, 정보처리와 관리, 커뮤니케이션, 정보통신, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
452,작곡과,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평","음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기",음악 콘텐츠 제작,,,,,,,,,,,,,,,,,,,
453,작업치료과,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ<br>교양교과 : 심리학",생명과학Ⅱ,"체육지도법, 개인ㆍ대인 운동, 체육 전공 실기 응용","인체 구조와 기능, 기초 간호 임상 실무, 보건 간호",,,,,,,,,,,,,,,,,,,
454,장례지도과,"사회, 생활ㆍ교양","사회교과 : 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 교육학",사회문제 탐구,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","사무 행정, 인간 발달, 아동 복지, 복지 서비스의 기초, 대인 복지 서비스",,,,,,,,,,,,,,,,,,,
456,재료공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 과학과제 연구","공업 일반, 금속 열처리, 금속 재료 가공",,,,,,,,,,,,,,,,,,,
457,재료과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 과학과제연구","공업 일반, 금속 열처리, 금속 재료 가공",,,,,,,,,,,,,,,,,,,
458,재활학과,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 여엉 독해와 작문<br>과학교과 : 생명과학Ⅰ<br>교양교과 : 심리학",생명과학Ⅱ,"체육지도법, 개인ㆍ대인 운동, 체육 전공 실기 응용","인체 구조와 기능, 기초 간호 임상 실무, 보건 간호",,,,,,,,,,,,,,,,,,,
459,전기공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전기회로, 전기 기기, 전기 설비, 자동화 설비",,,,,,,,,,,,,,,,,,,
460,전기ㆍ전자ㆍ통신공학교육과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화 수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학 탐구, 과학과제 연구","전기 회로, 전기 기기, 전기 설비, 자동화 설비",,,,,,,,,,,,,,,,,,,
461,전기과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전기 회로, 전기 기기, 전기 설비, 자동화 설비",,,,,,,,,,,,,,,,,,,
463,전기전자공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발",,,,,,,,,,,,,,,,,,,
464,전기전자과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전기 회로, 전기 기기, 전기 설비, 자동화 설비",,,,,,,,,,,,,,,,,,,
465,전기제어공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","공업 일반, 기계 제어 설계, 기계 소프트웨어 개발, 프로그래밍, 사물 인터넷 서비스 기획",,,,,,,,,,,,,,,,,,,
469,전자공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발",,,,,,,,,,,,,,,,,,,
470,전자과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","전자 회로, 디지털 논리 회로, 산업용 전자 기기 소프트웨어 개발",,,,,,,,,,,,,,,,,,,
471,디지털미디어과,"국어, 사회, 생활ㆍ교양","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 세계사, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 논술","실용 국어, 심화 국어, 고전 읽기, 사회문제 탐구","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 미디어 콘텐츠 일반, 문화 콘텐츠 산업 일반, 영상 제작 기초, 방송 일반, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
479,전통조리과,"과학, 생활ㆍ교양, 사회","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ<br>생활ㆍ교양교과 : 기술가정, 정보, 보건학, 환경, 심리학, 교육학, 실용경제<br>사회교과 : 사회문화, 생활과 윤리, 정치와 법","생명과학Ⅱ, 화학Ⅱ, 융합과학, 생활과 과학, 농업생명과학, 가정과학","생명과학실험, 물리/화학 실험, 융합과학 탐구, 과학과제 연구","식품과 영양, 식품위생, 급식관리, 식품과학, 식품분석",,,,,,,,,,,,,,,,,,,
484,정밀화학과,"과학, 수학, 교양, 영어","과학교과 : 화학Ⅰ, 생명과학Ⅰ, 물리Ⅰ, 지구과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>교양교과 : 논리학, 환경, 논술, 보건학","화학Ⅱ, 융합과학, 과학사, 생활과 과학, 수학 과제 탐구, 기하, 생명과학Ⅱ","고급화학, 화학 실험, 과학과제 연구, 융합과학 탐구, 정보과학, 심화수학Ⅰ, 심화수학Ⅱ, 고급수학Ⅰ, 고급수학Ⅱ","환경화학 기초, 공업화학, 제조화학",,,,,,,,,,,,,,,,,,,
486,인터넷정보학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호관리",,,,,,,,,,,,,,,,,,,
488,정보보호학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호관리",,,,,,,,,,,,,,,,,,,
489,스마트정보과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 <br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호 관리",,,,,,,,,,,,,,,,,,,
490,정보통신공학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호관리",,,,,,,,,,,,,,,,,,,
491,정보통신과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 <br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호 관리",,,,,,,,,,,,,,,,,,,
492,정치외교학과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 논리학",사회문제 탐구,"국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구",커뮤니케이션,,,,,,,,,,,,,,,,,,,
493,제과제빵과,"과학, 생활ㆍ교양, 사회","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ<br>생활ㆍ교양교과 : 기술가정, 정보, 보건학, 환경, 심리학, 교육학, 실용경제<br>사회교과 : 사회문화, 생활과 윤리, 정치와 법","생명과학Ⅱ, 화학Ⅱ, 융합과학, 생활과 과학, 농업생명과학, 가정과학","생명과학실험, 물리/화학 실험, 융합과학 탐구, 과학과제 연구","식품과 영양, 식품위생, 급식관리, 식품과학, 식품분석",,,,,,,,,,,,,,,,,,,
494,제약공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경",인간과 환경,,,,,,,,,,,,,,,,,,,
495,제어계측공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","공업 일반, 기계 제어 설계, 기계 소프트웨어 개발, 프로그래밍, 사물 인터넷 서비스 기획",,,,,,,,,,,,,,,,,,,
496,제어계측과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구","공업 일반, 기계 제어 설계, 기계 소프트웨어 개발, 프로그래밍, 사물 인터넷 서비스 기획",,,,,,,,,,,,,,,,,,,
498,제지공학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구","환경 화학 기초, 인간과 환경, 환경 생태 관리, 수질 관리, 대기 관리, 폐기물 관리",,,,,,,,,,,,,,,,,,,
